# Upward Trend     = UD
# Natural Reaction = NN
# Second Reaction  = SN
# Second Rally     = SY
# Natural Rally    = NY
# Downward Trend   = DD
# width = 6

	     US,        BS,        KEY
1938/01/01   NY 65.75*, UD 57*,    UD 122.75*
1938/01/15   DD 48.5*,  NN 43.25*, DD 91.75*

1938/02/01   NY 62.125*,UD 65.875*,UD 128*
1938/02/15   DD 48.25,  NN 50.125*,NN 98.375


1938/03/23   DD 47,     SN 50.25,  NN 97.25
1938/03/25   DD 44.75,  DD 46.75,  DD 91.5
1938/03/26   DD 44,     DD 46,     DD 90
1938/03/28   DD 43.625, ,          DD 89.625
1938/03/29   DD 39.625, DD 43,     DD 82.625
1938/03/30   DD 39,     DD 42.125, DD 81.125
1938/03/31   DD 38*,    DD 40*,    DD 78*

1938/04/02   NY 43.5,   NY 46.375, NY 89.875
1938/04/09   NY 46.5,   NY 49.75,  NY 96.25
1938/04/13   NY 47.25,  ,          NY 97
1938/04/14   NY 47.5,   ,          NY 97.25
1938/04/16   NY 49*,    NY 52*,    NY 101*
1938/04/28   NN 43,     ,          ,
1938/04/29   NN 42.375, NN 45,     NN 87.375

1938/05/02   NN 41.5,   NN 44.25,  NN 85.75
1938/05/23   ,          NN 44.125, NN 85.375
1938/05/24   ,          NN 43.5,   NN 85
1938/05/25   NN 41.375, NN 42.5,   NN 83.875
1938/05/26   NN 40.125, NN 40.5,   NN 80.625
1938/05/27   NN 39.875, DD 39.75*, NN 79.625
1938/05/31   NN 39.25,  ,          NN 79

1938/06/10   ,          SY 46.5,
1938/06/20   SY 45.375, SY 48.25,  SY 93.625
1938/06/21   SY 46.5,   SY 49.875, SY 96.375
1938/06/22   SY 48.5,   SY 50.875, SY 99.375
1938/06/23   NY 51.25,  NY 53.25,  NY 104.5
1938/06/24   UD 53.75,  UD 55.125, UD 108.875
1938/06/25   UD 54.875, UD 58.125, UD 113
1938/06/29   UD 56.875, UD 60.125, UD 117
1938/06/30   UD 58.375, UD 61.625, UD 120

1938/07/01   UD 59,     ,          UD 120.625
1938/07/02   UD 60.875, UD 62.5*,  UD 123.375
1938/07/07   UD 61.75*, ,          UD 124.25*
1938/07/11   NN 55.625, NN 56.75*, NN 112.375
1938/07/12   NN 55.5*,  ,          NN 112.25*
1938/07/19   UD 62.375, UD 63.125*,UD 125.5
1938/07/25   UD 63.25*,  ,         UD 126.375*

1938/08/12   SN 56.625, NN 54.875, NN 111.5
1938/08/13   SN 56.5,   NN 54.625*,NN 111.125*
1938/08/24   NY 61.625, NY 61.375, NY 123
1938/08/26   NY 61.875, NY 61.5,   NY 123.375
1938/08/29   SN 56.125, SN 55,     NN 111.125*

1938/09/13   NN 54.25,  NN 53.625, NN 107.875
1938/09/14   DD 52*,    NN 52.5*,  DD 104.5*
1938/09/20   NY 57.625, NY 58.5,
1938/09/21   NY 58*,    ,          NY 116.25*
1938/09/24   DD 51.875, NN 52,     DD 103.875
1938/09/26   DD 51.125, NN 51.25,  DD 102.375
1938/09/28   DD 50.875*,NN 51*,    DD 101.875*
1938/09/29   SY 57.125, SY 57.75,  SY 114.875
1938/09/30   NY 59.25,  NY 59.5,   NY 118.75

1938/10/01   NY 60.25,  NY 60,     NY 120.25
1938/10/03   NY 60.375, NY 60.375, NY 120.75
1938/10/05   UD 62,     NY 62,     UD 124
1938/10/06   UD 63,     NY 63,     UD 126
1938/10/08   UD 64.25,  UD 64,     UD 128.25
1938/10/13   UD 65.375, UD 65.125, UD 130.5
1938/10/22   UD 65.875, UD 67.5,   UD 133.375
1938/10/24   UD 66,     ,          UD 133.5
1938/10/25   UD 66.125, UD 67.875, UD 134
1938/10/27   UD 66.5,   UD 68.875, UD 135.375

1938/11/01   ,          UD 69,     UD 135.5
1938/11/03   ,          UD 69.5,   UD 136
1938/11/07   UD 66.75,  UD 71.875, UD 138.625
1938/11/09   UD 69.5,   UD 75.375, UD 144.875
1938/11/10   UD 70,     UD 75.5,   UD 145.5
1938/11/12   UD 71.25*, UD 77.625*,UD 148.875*
1938/11/18   NN 65.125, NN 71.875, NN 137
1938/11/26   NN 63.25,  NN 71.5,   NN 134.75
1938/11/28   NN 61*,    NN 68.75*, NN 129.75*

1938/12/14   NY 66.625, NY 75.25,  NY 141.875
1938/12/15   NY 67.125, NY 76.375, NY 143.5
1938/12/28   NY 67.75,  UD 78,     NY 145.75

1939/01/04   NY 70,     UD 80*,    UD 150*
1939/01/11   ,          SN 73.75,
1939/01/12   SN 62.625, SN 71.5,   SN 134.125
1939/01/21   SN 62,     SN 69.5,   SN 131.5
1939/01/23   DD 57.875, DD 63.75,  DD 121.625
1939/01/24   DD 56.5,   DD 63.25,  DD 119.75
1939/01/25   DD 55.625, DD 63,     DD 118.625
1939/01/26   DD 53.25*, DD 60.25*, DD 113.5*
1939/01/31   NY 59.5,   NY 68.5,   NY 128

1939/02/02   NY 60,     ,          NY 128.5
1939/02/04   NY 60.625, NY 69,     NY 129.625
1939/02/06   ,          NY 69.875, NY 130.75
1939/02/16   ,          NY 70.45,  NY 131.625
